client_name,policy_number,policy_status,policy_start_date,policy_end_date,product_group,account_exe_id,exe_name,branch_name,solution_group,income_class,amount,income_due_date,revenue_transaction_type,renewal_status,lapse_reason,last_updated_date,lapse_reason_clean,opportunity_name,opportunity_id,account_executive,premium_amount,revenue_amount,closing_date,stage,branch,specialty,product_sub_group,risk_details,invoice_number,invoice_date,global_attendees,meeting_date,employee_name,new_role2,new_budget,cross_sell_bugdet,renewal_budget
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL -Marine,OPP1900001053,Vinay,0,100000,31-05-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Sophia Garcia,02-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL -Marine,OPP1900001053,Vinay,0,100000,31-05-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,James Miller,03-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL -Marine,OPP1900001053,Vinay,0,100000,31-05-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Mia Rodriguez,06-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL -Marine,OPP1900001053,Vinay,0,100000,31-05-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Benjamin Anderson,07-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL -Marine,OPP1900001053,Vinay,0,100000,31-05-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Charlotte Taylor,08-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,Sandesh - Marine,OPP1900001055,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Sophia Garcia,02-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,Sandesh - Marine,OPP1900001055,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,James Miller,03-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,Sandesh - Marine,OPP1900001055,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Mia Rodriguez,06-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,Sandesh - Marine,OPP1900001055,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Benjamin Anderson,07-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,Sandesh - Marine,OPP1900001055,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Charlotte Taylor,08-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Sanjay Trivedi,2.41E+18,Active,01-05-2019,30-04-2020,Marine,2,Abhinav Shivam,Ahmedabad,Marine,New,23590.71,01-05-2019,Brokerage,Inception,OTHR - Other,22-01-2020,Other,,,,,,,,,,,,,,,,,,,,
Anita Sethi,0655001825 01,Inactive,13-09-2018,12-09-2019,Fire,1,Vinay,Ahmedabad,"Construction, Power & Infrastructure",Renewal,4611.96,13-09-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,,,,,,,,,,,,,,,,,,,,
Ashok Chatterjee,12139156,Active,13-09-2019,12-09-2020,Fire,1,Vinay,Ahmedabad,"Construction, Power & Infrastructure",Renewal,4975.41,13-09-2019,Brokerage,Renewal,OTHR - Other,22-01-2020,Other,,,,,,,,,,,,,,,,,,,,
Rani Agarwal,2200090892,Active,06-11-2018,05-11-2019,Miscellaneous,1,Vinay,Ahmedabad,Liability,Renewal,1198.88,06-11-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL-Credit Insurance,OPP1900001051,Vinay,1200000,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Trade Credit &amp; Political Risk,Miscellaneous,Trade Credit Insurance,,,Sophia Garcia,02-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Rani Agarwal,2200090892,Active,06-11-2018,05-11-2019,Miscellaneous,1,Vinay,Ahmedabad,Liability,Renewal,1198.88,06-11-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL-Credit Insurance,OPP1900001051,Vinay,1200000,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Trade Credit &amp; Political Risk,Miscellaneous,Trade Credit Insurance,,,James Miller,03-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Rani Agarwal,2200090892,Active,06-11-2018,05-11-2019,Miscellaneous,1,Vinay,Ahmedabad,Liability,Renewal,1198.88,06-11-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL-Credit Insurance,OPP1900001051,Vinay,1200000,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Trade Credit &amp; Political Risk,Miscellaneous,Trade Credit Insurance,,,Mia Rodriguez,06-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Rani Agarwal,2200090892,Active,06-11-2018,05-11-2019,Miscellaneous,1,Vinay,Ahmedabad,Liability,Renewal,1198.88,06-11-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL-Credit Insurance,OPP1900001051,Vinay,1200000,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Trade Credit &amp; Political Risk,Miscellaneous,Trade Credit Insurance,,,Benjamin Anderson,07-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Rani Agarwal,2200090892,Active,06-11-2018,05-11-2019,Miscellaneous,1,Vinay,Ahmedabad,Liability,Renewal,1198.88,06-11-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL-Credit Insurance,OPP1900001051,Vinay,1200000,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Trade Credit &amp; Political Risk,Miscellaneous,Trade Credit Insurance,,,Charlotte Taylor,08-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Arjun Rao,237164239 00,Active,01-02-2019,31-01-2020,Employee Benefits,10,Mark,Ahmedabad,Employee Benefits (EB),Renewal,1825.43,01-02-2019,Brokerage,Inception,OTHR - Other,22-01-2020,Other,EI- GMC,OPP1900001364,Mark,1400000,100000,09-12-2019,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Mediclaim,Group Medical,,,Christopher Campbell,22-01-2020,Mark,Servicer,19888,128777,198882
Arjun Rao,237164239 00,Active,01-02-2019,31-01-2020,Employee Benefits,10,Mark,Ahmedabad,Employee Benefits (EB),Renewal,1825.43,01-02-2019,Brokerage,Inception,OTHR - Other,22-01-2020,Other,EI- GMC,OPP1900001364,Mark,1400000,100000,09-12-2019,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Mediclaim,Group Medical,,,Zoe Rivera,13-01-2020,Mark,Servicer,19888,128777,198882
Arjun Rao,237164239 00,Active,01-02-2019,31-01-2020,Employee Benefits,10,Mark,Ahmedabad,Employee Benefits (EB),Renewal,1825.43,01-02-2019,Brokerage,Inception,OTHR - Other,22-01-2020,Other,FM-Group Mediclaim,OPP1900001390,Mark,4500000,300000,29-10-2019,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Mediclaim,Group Medical,,,Christopher Campbell,22-01-2020,Mark,Servicer,19888,128777,198882
Arjun Rao,237164239 00,Active,01-02-2019,31-01-2020,Employee Benefits,10,Mark,Ahmedabad,Employee Benefits (EB),Renewal,1825.43,01-02-2019,Brokerage,Inception,OTHR - Other,22-01-2020,Other,FM-Group Mediclaim,OPP1900001390,Mark,4500000,300000,29-10-2019,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Mediclaim,Group Medical,,,Zoe Rivera,13-01-2020,Mark,Servicer,19888,128777,198882
Arjun Rao,237164239 00,Active,01-02-2019,31-01-2020,Employee Benefits,10,Mark,Ahmedabad,Employee Benefits (EB),Renewal,1825.43,01-02-2019,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BVGMC,OPP1900001393,Mark,600000,100000,30-11-2019,Qualify Opportunity,Ahmedabad,Emerging Corporates Group (ECG),Mediclaim,Group Medical,,,Christopher Campbell,22-01-2020,Mark,Servicer,19888,128777,198882
Arjun Rao,237164239 00,Active,01-02-2019,31-01-2020,Employee Benefits,10,Mark,Ahmedabad,Employee Benefits (EB),Renewal,1825.43,01-02-2019,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BVGMC,OPP1900001393,Mark,600000,100000,30-11-2019,Qualify Opportunity,Ahmedabad,Emerging Corporates Group (ECG),Mediclaim,Group Medical,,,Zoe Rivera,13-01-2020,Mark,Servicer,19888,128777,198882
Arjun Rao,237164239 00,Active,01-02-2019,31-01-2020,Employee Benefits,10,Mark,Ahmedabad,Employee Benefits (EB),Renewal,1825.43,01-02-2019,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BV GPA,OPP1900001394,Mark,210000,35000,30-11-2019,Qualify Opportunity,Ahmedabad,Emerging Corporates Group (ECG),Mediclaim,Group Personal Accident,,,Christopher Campbell,22-01-2020,Mark,Servicer,19888,128777,198882
Arjun Rao,237164239 00,Active,01-02-2019,31-01-2020,Employee Benefits,10,Mark,Ahmedabad,Employee Benefits (EB),Renewal,1825.43,01-02-2019,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BV GPA,OPP1900001394,Mark,210000,35000,30-11-2019,Qualify Opportunity,Ahmedabad,Emerging Corporates Group (ECG),Mediclaim,Group Personal Accident,,,Zoe Rivera,13-01-2020,Mark,Servicer,19888,128777,198882
Arjun Rao,237164239 00,Active,01-02-2019,31-01-2020,Employee Benefits,10,Mark,Ahmedabad,Employee Benefits (EB),Renewal,1825.43,01-02-2019,Brokerage,Inception,OTHR - Other,22-01-2020,Other,OP-GMC,OPP1900001803,Mark,5000000,250000,30-11-2019,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Mediclaim,Group Medical,,,Christopher Campbell,22-01-2020,Mark,Servicer,19888,128777,198882
Arjun Rao,237164239 00,Active,01-02-2019,31-01-2020,Employee Benefits,10,Mark,Ahmedabad,Employee Benefits (EB),Renewal,1825.43,01-02-2019,Brokerage,Inception,OTHR - Other,22-01-2020,Other,OP-GMC,OPP1900001803,Mark,5000000,250000,30-11-2019,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Mediclaim,Group Medical,,,Zoe Rivera,13-01-2020,Mark,Servicer,19888,128777,198882
Anil Naik,4101190700000015-00,Active,25-06-2019,24-06-2020,Employee Benefits,2,Abhinav Shivam,Ahmedabad,Employee Benefits (EB),New,79833.6,25-06-2019,Brokerage,Endorsement,OTHR - Other,22-01-2020,Other,,,,,,,,,,,,,,,,,,,,
Simran Trivedi,4101190700000015-00,Active,25-06-2019,24-06-2020,Employee Benefits,2,Abhinav Shivam,Ahmedabad,Employee Benefits (EB),New,11435.86,02-08-2019,Brokerage ,Endorsement,OTHR - Other,22-01-2020,Other,,,,,,,,,,,,,,,,,,,,
Dhruv Chopra,2250010276,Active,25-04-2018,24-04-2019,Miscellaneous,1,Vinay,Ahmedabad,Employee Benefits (EB),Renewal,847.38,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL-Credit Insurance,OPP1900001051,Vinay,1200000,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Trade Credit &amp; Political Risk,Miscellaneous,Trade Credit Insurance,,,Sophia Garcia,02-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Dhruv Chopra,2250010276,Active,25-04-2018,24-04-2019,Miscellaneous,1,Vinay,Ahmedabad,Employee Benefits (EB),Renewal,847.38,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL-Credit Insurance,OPP1900001051,Vinay,1200000,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Trade Credit &amp; Political Risk,Miscellaneous,Trade Credit Insurance,,,James Miller,03-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Dhruv Chopra,2250010276,Active,25-04-2018,24-04-2019,Miscellaneous,1,Vinay,Ahmedabad,Employee Benefits (EB),Renewal,847.38,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL-Credit Insurance,OPP1900001051,Vinay,1200000,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Trade Credit &amp; Political Risk,Miscellaneous,Trade Credit Insurance,,,Mia Rodriguez,06-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Dhruv Chopra,2250010276,Active,25-04-2018,24-04-2019,Miscellaneous,1,Vinay,Ahmedabad,Employee Benefits (EB),Renewal,847.38,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL-Credit Insurance,OPP1900001051,Vinay,1200000,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Trade Credit &amp; Political Risk,Miscellaneous,Trade Credit Insurance,,,Benjamin Anderson,07-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Dhruv Chopra,2250010276,Active,25-04-2018,24-04-2019,Miscellaneous,1,Vinay,Ahmedabad,Employee Benefits (EB),Renewal,847.38,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL-Credit Insurance,OPP1900001051,Vinay,1200000,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Trade Credit &amp; Political Risk,Miscellaneous,Trade Credit Insurance,,,Charlotte Taylor,08-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BL - Marine STOP,OPP1900001048,Vinay,0,100000,30-06-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Sophia Garcia,02-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BL - Marine STOP,OPP1900001048,Vinay,0,100000,30-06-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,James Miller,03-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BL - Marine STOP,OPP1900001048,Vinay,0,100000,30-06-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Mia Rodriguez,06-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BL - Marine STOP,OPP1900001048,Vinay,0,100000,30-06-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Benjamin Anderson,07-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BL - Marine STOP,OPP1900001048,Vinay,0,100000,30-06-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Charlotte Taylor,08-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,II-Marine,OPP1900001050,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Sophia Garcia,02-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,II-Marine,OPP1900001050,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,James Miller,03-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,II-Marine,OPP1900001050,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Mia Rodriguez,06-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,II-Marine,OPP1900001050,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Benjamin Anderson,07-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,II-Marine,OPP1900001050,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Charlotte Taylor,08-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL -Marine,OPP1900001053,Vinay,0,100000,31-05-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Sophia Garcia,02-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL -Marine,OPP1900001053,Vinay,0,100000,31-05-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,James Miller,03-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL -Marine,OPP1900001053,Vinay,0,100000,31-05-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Mia Rodriguez,06-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL -Marine,OPP1900001053,Vinay,0,100000,31-05-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Benjamin Anderson,07-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,PIL -Marine,OPP1900001053,Vinay,0,100000,31-05-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Charlotte Taylor,08-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,Sandesh - Marine,OPP1900001055,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Sophia Garcia,02-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
Jaya Chopra,2414 2022 1261 2200 000,Inactive,25-04-2018,24-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,9900,25-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,Sandesh - Marine,OPP1900001055,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,James Miller,03-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
